	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
	6592																																																																																																																														
	7568																																																																																																																														
	8128																																																																																																																														
	8896																																																																																																																														
	9760																																																																																																																														
	12288																																																																																																																														
	12784																																																																																																																														
	13248																																																																																																																														
	16896																																																																																																																														
	17152																																																																																																																														
	19392																																																																																																																														
	23360																																																																																																																														
	25856																																																																																																																														
	26112																																																																																																																														
	26128																																																																																																																														
	26176																																																																																																																														
	26496																																																																																																																														
	26672																																																																																																																														
	27648																																																																																																																														
	28452																																																																																																																														
	28800																																																																																																																														
	30448																																																																																																																														
	39136																																																																																																																														
	40320																																																																																																																														
	41472																																																																																																																														
	41728																																																																																																																														
	42752																																																																																																																														
	49152																																																																																																																														
	51200																																																																																																																														
	52992																																																																																																																														
	53504																																																																																																																														
	54912																																																																																																																														
	55204																																																																																																																														
																																																																																																																															
	37																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	1136																																																																																																																														
	1864																																																																																																																														
	2064																																																																																																																														
	2272																																																																																																																														
	2400																																																																																																																														
	2528																																																																																																																														
	2912																																																																																																																														
	3184																																																																																																																														
	3256																																																																																																																														
	3584																																																																																																																														
	4608																																																																																																																														
	4656																																																																																																																														
	4672																																																																																																																														
	5152																																																																																																																														
	5824																																																																																																																														
	6144																																																																																																																														
	6336																																																																																																																														
	6592																																																																																																																														
	7568																																																																																																																														
	8128																																																																																																																														
	8896																																																																																																																														
	9760																																																																																																																														
	12288																																																																																																																														
	12784																																																																																																																														
	13248																																																																																																																														
	16896																																																																																																																														
	17152																																																																																																																														
	19392																																																																																																																														
	23360																																																																																																																														
	25856																																																																																																																														
	26112																																																																																																																														
	26128																																																																																																																														
	26176																																																																																																																														
	26496																																																																																																																														
	26672																																																																																																																														
	27648																																																																																																																														
	28452																																																																																																																														
	28800																																																																																																																														
	30448																																																																																																																														
	39136																																																																																																																														
	40320																																																																																																																														
	41472																																																																																																																														
	41728																																																																																																																														
	42752																																																																																																																														
	49152																																																																																																																														
	51200																																																																																																																														
	52992																																																																																																																														
	53504																																																																																																																														
	54912																																																																																																																														
																																																																																																																															
	38																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	1136																																																																																																																														
	1864																																																																																																																														
	2064																																																																																																																														
	2272																																																																																																																														
	2400																																																																																																																														
	2528																																																																																																																														
	2912																																																																																																																														
	3184																																																																																																																														
	3256																																																																																																																														
	3584																																																																																																																														
	4608																																																																																																																														
	4656																																																																																																																														
	4672																																																																																																																														
	5152																																																																																																																														
	5824																																																																																																																														
	6144																																																																																																																														
	6336																																																																																																																														
	6592																																																																																																																														
	7568																																																																																																																														
	8128																																																																																																																														
	8896																																																																																																																														
	9760																																																																																																																														
	12288																																																																																																																														
	12784																																																																																																																														
	13248																																																																																																																														
	14848																																																																																																																														
	16896																																																																																																																														
	17152																																																																																																																														
	19392																																																																																																																														
	23360																																																																																																																														
	25856																																																																																																																														
	26112																																																																																																																														
	26128																																																																																																																														
	26176																																																																																																																														
	26496																																																																																																																														
	26672																																																																																																																														
	27648																																																																																																																														
	28452																																																																																																																														
	28800																																																																																																																														
	30448																																																																																																																														
	39136																																																																																																																														
	40320																																																																																																																														
	41472																																																																																																																														
	41728																																																																																																																														
	42752																																																																																																																														
	44000																																																																																																																														
	49152																																																																																																																														
	51200																																																																																																																														
	52992																																																																																																																														
																																																																																																																															
	39																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	1136																																																																																																																														
	1864																																																																																																																														
	2064																																																																																																																														
	2272																																																																																																																														
	2400																																																																																																																														
	2528																																																																																																																														
	2912																																																																																																																														
	3184																																																																																																																														
	3256																																																																																																																														
	3584																																																																																																																														
	4608																																																																																																																														
	4656																																																																																																																														
	4672																																																																																																																														
	5152																																																																																																																														
	5824																																																																																																																														
	6144																																																																																																																														
	6336																																																																																																																														
	6592																																																																																																																														
	7568																																																																																																																														
	8128																																																																																																																														
	8896																																																																																																																														
	9760																																																																																																																														
	12288																																																																																																																														
	12784																																																																																																																														
	13248																																																																																																																														
	14848																																																																																																																														
	16896																																																																																																																														
	17152																																																																																																																														
	19392																																																																																																																														
	23360																																																																																																																														
	25856																																																																																																																														
	26112																																																																																																																														
	26128																																																																																																																														
	26176																																																																																																																														
	26496																																																																																																																														
	26672																																																																																																																														
	27648																																																																																																																														
	28452																																																																																																																														
	28800																																																																																																																														
	29440																																																																																																																														
	30448																																																																																																																														
	39136																																																																																																																														
	40320																																																																																																																														
	41472																																																																																																																														
	41728																																																																																																																														
	42752																																																																																																																														
	44000																																																																																																																														
	49152																																																																																																																														
	51200																																																																																																																														
																																																																																																																															
	40																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	1136																																																																																																																														
	1224																																																																																																																														
	1864																																																																																																																														
	2064																																																																																																																														
	2272																																																																																																																														
	2400																																																																																																																														
	2528																																																																																																																														
	2912																																																																																																																														
	3184																																																																																																																														
	3256																																																																																																																														
	3584																																																																																																																														
	4608																																																																																																																														
	4656																																																																																																																														
	4672																																																																																																																														
	5152																																																																																																																														
	5824																																																																																																																														
	6144																																																																																																																														
	6336																																																																																																																														
	6592																																																																																																																														
	7568																																																																																																																														
	8128																																																																																																																														
	8896																																																																																																																														
	9760																																																																																																																														
	12288																																																																																																																														
	12784																																																																																																																														
	13248																																																																																																																														
	14848																																																																																																																														
	16896																																																																																																																														
	17152																																																																																																																														
	19392																																																																																																																														
	23360																																																																																																																														
	25856																																																																																																																														
	26112																																																																																																																														
	26128																																																																																																																														
	26176																																																																																																																														
	26496																																																																																																																														
	26672																																																																																																																														
	27648																																																																																																																														
	28452																																																																																																																														
	28800																																																																																																																														
	29440																																																																																																																														
	30448																																																																																																																														
	39136																																																																																																																														
	40320																																																																																																																														
	41472																																																																																																																														
	41728																																																																																																																														
	42752																																																																																																																														
	43824																																																																																																																														
	44000																																																																																																																														
																																																																																																																															
	41																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
	0																																																																																																																														
